time_sec	pmask_cmH20
31.5292	3.797897577
31.5332	3.815159082
31.5372	3.798716068
31.5412	3.78554678
31.5452	3.802882671
31.5492	3.798939228
31.5532	3.784728289
31.5572	3.795665503
31.5612	3.795442343
31.5652	3.779668808
31.5692	3.790755033
31.5732	3.803775549
31.5772	3.784877062
31.5812	3.788522959
31.5852	3.803403378
31.5892	3.794772625
31.5932	3.795739889
31.5972	3.823120117
31.6012	3.822599411
31.6052	3.822450638
31.6092	3.84276247
31.6132	3.845143318
31.6172	3.836438179
31.6212	3.859056711
31.6252	3.869547606
31.6292	3.862553596
31.6332	3.877657413
31.6372	3.892612457
31.6412	3.880187273
31.6452	3.890305996
31.6492	3.908311367
31.6532	3.894472599
31.6572	3.89276123
31.6612	3.914561272
31.6652	3.906079292
31.6692	3.898713589
31.6732	3.913966179
31.6772	3.907567501
31.6812	3.892835617
31.6852	3.908757925
31.6892	3.913519621
31.6932	3.897820711
31.6972	3.908906698
31.7012	3.915305376
31.7052	3.898192644
31.7092	3.905112267
31.7132	3.914561272
31.7172	3.900350332
31.7212	3.89722538
31.7252	3.915677309
31.7292	3.905558586
31.7332	3.899159908
31.7372	3.918281555
31.7412	3.915230989
31.7452	3.901689529
31.7492	3.917239904
31.7532	3.918876648
31.7572	3.903772831
31.7612	3.919099808
31.7652	3.927209854
31.7692	3.909873962
31.7732	3.913445234
31.7772	3.928846598
31.7812	3.915974855
31.7852	3.918802261
31.7892	3.936510086
31.7932	3.927879333
31.7972	3.92244792
31.8012	3.943652868
31.8052	3.940006971
31.8092	3.929367542
31.8132	3.949084282
31.8172	3.951986074
31.8212	3.934873343
31.8252	3.946182489
31.8292	3.952432394
31.8332	3.935691833
31.8372	3.943429708
31.8412	3.959947109
31.8452	3.943727255
31.8492	3.945066452
31.8532	3.963295221
31.8572	3.954441309
31.8612	3.949902773
31.8652	3.968429089
31.8692	3.961286306
31.8732	3.949902773
31.8772	3.964857578
31.8812	3.96522975
31.8852	3.952283621
31.8892	3.967908144
31.8932	3.976315737
31.8972	3.957863808
31.9012	3.967759371
31.9052	3.989187479
31.9092	3.984202385
31.9132	3.99216342
31.9172	4.013442993
31.9212	4.007416248
31.9252	4.005407333
31.9292	4.027951241
31.9332	4.026835442
31.9372	4.017981529
31.9412	4.033084869
31.9452	4.035019398
31.9492	4.022520065
31.9532	4.04387331
31.9572	4.053769112
31.9612	4.041343689
31.9652	4.052355289
31.9692	4.064408779
31.9732	4.050867558
31.9772	4.054364204
31.9812	4.072220802
31.9852	4.058753967
31.9892	4.049602509
31.9932	4.062176704
31.9972	4.053694725
32.0012	4.041641235
32.0052	4.05548048
32.0092	4.052280903
32.0132	4.038739681
32.0172	4.054810524
32.0212	4.062102318
32.0252	4.050197601
32.0292	4.061804771
32.0332	4.075941086
32.0372	4.061581135
32.0412	4.072146416
32.0452	4.091639996
32.0492	4.088664055
32.0532	4.094616413
32.0572	4.124451637
32.0612	4.127948761
32.0652	4.132784843
32.0692	4.16016531
32.0732	4.169242382
32.0772	4.164778233
32.0812	4.195432186
32.0852	4.21462822
32.0892	4.213437557
32.0932	4.235311985
32.0972	4.253317356
32.1012	4.244835377
32.1052	4.26403141
32.1092	4.294834137
32.1132	4.292974472
32.1172	4.302274704
32.1212	4.328241348
32.1252	4.331812382
32.1292	4.339848042
32.1332	4.373626709
32.1372	4.380620956
32.1412	4.371245861
32.1452	4.39520359
32.1492	4.4077034
32.1532	4.409042835
32.1572	4.437167168
32.1612	4.464621544
32.1652	4.456660748
32.1692	4.476079941
32.1732	4.508444786
32.1772	4.515141487
32.1812	4.536569118
32.1852	4.571985245
32.1892	4.572134018
32.1932	4.578383446
32.1972	4.616254807
32.2012	4.631804943
32.2052	4.63931942
32.2092	4.668411255
32.2132	4.679720402
32.2172	4.668262482
32.2212	4.695047379
32.2252	4.722502232
32.2292	4.719972134
32.2332	4.736192226
32.2372	4.754420757
32.2412	4.742590904
32.2452	4.750254154
32.2492	4.781205654
32.2532	4.777932167
32.2572	4.772500515
32.2612	4.78998518
32.2652	4.783288956
32.2692	4.774658203
32.2732	4.80114603
32.2772	4.808214188
32.2812	4.794598579
32.2852	4.807321072
32.2892	4.81282711
32.2932	4.796235085
32.2972	4.806205273
32.3012	4.826665878
32.3052	4.811785698
32.3092	4.810669422
32.3132	4.830014229
32.3172	4.819746494
32.3212	4.818556309
32.3252	4.842811584
32.3292	4.837677479
32.3332	4.821681023
32.3372	4.837007999
32.3412	4.837975502
32.3452	4.824433804
32.3492	4.84035635
32.3532	4.84779644
32.3572	4.825922012
32.3612	4.831576824
32.3652	4.843257904
32.3692	4.827558994
32.3732	4.833213329
32.3772	4.853525639
32.3812	4.843406677
32.3852	4.837826252
32.3892	4.857394218
32.3932	4.853153229
32.3972	4.841323376
32.4012	4.863346577
32.4052	4.866024971
32.4092	4.851888657
32.4132	4.86773634
32.4172	4.878078461
32.4212	4.863941669
32.4252	4.876590252
32.4292	4.8899827
32.4332	4.872572422
32.4372	4.872795582
32.4412	4.89020586
32.4452	4.87852478
32.4492	4.874804497
32.4532	4.895637512
32.4572	4.886188507
32.4612	4.873837471
32.4652	4.894744396
32.4692	4.894744396
32.4732	4.880756855
32.4772	4.893479824
32.4812	4.898613453
32.4852	4.877185345
32.4892	4.885518551
32.4932	4.899282932
32.4972	4.882914543
32.5012	4.889015675
32.5052	4.903747082
32.5092	4.887973785
32.5132	4.886336803
32.5172	4.907318592
32.5212	4.900696754
32.5252	4.892512321
32.5292	4.908732414
32.5332	4.907913685
32.5372	4.889610767
32.5412	4.903151989
32.5452	4.904565811
32.5492	4.880459309
32.5532	4.88633728
32.5572	4.895191193
32.5612	4.880236149
32.5652	4.881128788
32.5692	4.894298077
32.5732	4.874655724
32.5772	4.862082005
32.5812	4.87532568
32.5852	4.859179974
32.5892	4.849061489
32.5932	4.864090443
32.5972	4.856799126
32.6012	4.842514038
32.6052	4.858956814
32.6092	4.861783981
32.6132	4.846457005
32.6172	4.852186203
32.6212	4.863867283
32.6252	4.849210262
32.6292	4.8590312
32.6332	4.876739025
32.6372	4.863867283
32.6412	4.857766628
32.6452	4.872944832
32.6492	4.863123417
32.6532	4.853376865
32.6572	4.866769314
32.6612	4.858584881
32.6652	4.840728283
32.6692	4.854195118
32.6732	4.85181427
32.6772	4.830906868
32.6812	4.837305546
32.6852	4.8402071
32.6892	4.816249371
32.6932	4.81305027
32.6972	4.817737579
32.7012	4.794151783
32.7052	4.779345989
32.7092	4.789241314
32.7132	4.767961979
32.7172	4.752486229
32.7212	4.763572216
32.7252	4.752932549
32.7292	4.734108925
32.7332	4.747426987
32.7372	4.748170853
32.7412	4.731281281
32.7452	4.745715618
32.7492	4.751444817
32.7532	4.730239868
32.7572	4.734257698
32.7612	4.742516518
32.7652	4.724734306
32.7692	4.71982336
32.7732	4.737903595
32.7772	4.726668358
32.7812	4.719153881
32.7852	4.736787319
32.7892	4.733513832
32.7932	4.717665672
32.7972	4.733885765
32.8012	4.733141422
32.8052	4.712532043
32.8092	4.725031853
32.8132	4.730909348
32.8172	4.714615345
32.8212	4.717368126
32.8252	4.729421616
32.8292	4.706058979
32.8332	4.70092535
32.8372	4.714540958
32.8412	4.70137167
32.8452	4.697502613
32.8492	4.714020252
32.8532	4.707249165
32.8572	4.686267853
32.8612	4.703083038
32.8652	4.703901291
32.8692	4.686937332
32.8732	4.698097706
32.8772	4.702264309
32.8812	4.681506157
32.8852	4.687160492
32.8892	4.704124451
32.8932	4.687160492
32.8972	4.685225964
32.9012	4.696758747
32.9052	4.683961391
32.9092	4.678976059
32.9132	4.703008652
32.9172	4.699883461
32.9212	4.687681675
32.9252	4.705091953
32.9292	4.702561855
32.9332	4.686491013
32.9372	4.699139595
32.9412	4.711192608
32.9452	4.688797474
32.9492	4.694601059
32.9532	4.705687046
32.9572	4.684110165
32.9612	4.683291912
32.9652	4.697800159
32.9692	4.684854031
32.9732	4.676744461
32.9772	4.693856716
32.9812	4.686193466
32.9852	4.670940876
32.9892	4.684854031
32.9932	4.676818848
32.9972	4.653679371
33.0012	4.662533283
33.0052	4.664839745
33.0092	4.646090508
33.0132	4.65494442
33.0172	4.667146206
33.0212	4.647950172
33.0252	4.644304752
33.0292	4.659854889
33.0332	4.639394283
33.0372	4.633144379
33.0412	4.652489185
33.0452	4.644007206
33.0492	4.632995605
33.0532	4.647875786
33.0572	4.641402721
33.0612	4.619230747
33.0652	4.631284237
33.0692	4.634632111
33.0732	4.61640358
33.0772	4.626001358
33.0812	4.638724327
