time_sec	pepi_cmH20
75.20116	0.071566887
75.20516	1.007712245
75.20916	-0.698152602
75.21316	-0.198875099
75.21716	0.009157202
75.22116	0.133976579
75.22516	0.27959919
75.22916	-0.053252485
75.23316	-0.157268628
75.23716	0.196386263
75.24116	-0.1364654
75.24516	-0.157268628
75.24916	0.716467023
75.25316	-0.552529991
75.25716	-0.323694468
75.26116	-0.240481555
75.26516	1.298957467
75.26916	-0.157268628
75.27316	-0.531726778
75.27716	-0.302891225
75.28116	-0.261284769
75.28516	-0.594136477
75.28916	-0.427710623
75.29316	2.588757753
75.29716	0.508434713
75.30116	-0.386104167
75.30516	0.029960431
75.30916	0.092370123
75.31316	0.217189491
75.31716	-0.053252485
75.32116	-0.011646027
75.32516	-0.302891225
75.32916	-0.011646027
75.33316	-0.677349389
75.33716	-0.448513836
75.34116	-0.594136477
75.34516	0.633254111
75.34916	-0.635742903
75.35316	-0.323694468
75.35716	-0.781365514
75.36116	-0.739759028
75.36516	1.673415542
75.36916	-0.656546116
75.37316	-0.635742903
75.37716	-0.302891225
75.38116	-0.718955815
75.38516	0.154779807
75.38916	-1.072610736
75.39316	-0.594136477
75.39716	-0.989397824
75.40116	2.42233181
75.40516	0.196386263
75.40916	-1.301446199
75.41316	-0.282088012
75.41716	-0.178071856
75.42116	2.297512531
75.42516	1.486186504
75.42916	-0.573333204
75.43316	-0.552529991
75.43716	-0.323694468
75.44116	-0.282088012
75.44516	-0.573333204
75.44916	-0.115662172
75.45316	0.071566887
75.45716	0.009157202
75.46116	-0.323694468
75.46516	0.654057324
75.46916	0.196386263
75.47316	-0.094858944
75.47716	0.237992719
75.48116	0.237992719
75.48516	0.362812102
75.48916	0.446025014
75.49316	0.425221801
75.49716	0.342008859
75.50116	0.425221801
75.50516	0.342008859
75.50916	0.237992719
75.51316	0.362812102
75.51716	0.196386263
75.52116	0.113173351
75.52516	0.029960431
75.52916	-0.011646027
75.53316	0.050763659
75.53716	-0.032449257
75.54116	-0.178071856
75.54516	-0.198875099
75.54916	-0.219678327
75.55316	-0.157268628
75.55716	-0.240481555
75.56116	-0.323694468
75.56516	-0.427710623
75.56916	-0.323694468
75.57316	-0.365300924
75.57716	-0.490120292
75.58116	-0.594136477
75.58516	-0.698152602
75.58916	-0.490120292
75.59316	-0.781365514
75.59716	-0.926988125
75.60116	-0.718955815
75.60516	-0.906184912
75.60916	-0.781365514
75.61316	-1.093413949
75.61716	-1.135020375
75.62116	-1.176626921
75.62516	-1.488675356
75.62916	-1.322249532
75.63316	-1.384659171
75.63716	-1.738314033
75.64116	-1.571888208
75.64516	-1.675904393
75.64916	-1.759117246
75.65316	-1.800723791
