x0000,y0000
12.336111,-0.08379705811,
12.376661,-0.1625662927,
12.417101,-0.1855506287,
12.457449,-0.2908955017,
12.497883,-0.3852270471,
12.538261,-0.4503493323,
12.578671,-0.6378153223,
12.619515,-0.6330269189,
12.659946,-0.7580042456,
12.700548,-0.7773972791,
12.740878,-0.8418013037,
12.781663,-0.9095572107,
12.824413,-0.9437942944,
12.865474,-0.9600748657,
12.906659,-1.008677159,
12.947103,-0.9639055884,
12.987797,-1.018253966,
13.028238,-0.8588001355,
13.068928,-0.9667786304,
13.109458,-0.9888052856,
13.149924,-0.9885658655,
13.190272,-0.9739612354,
13.23095,-0.873883606,
13.271433,-0.9196128577,
13.312072,-0.8765172278,
13.352581,-0.8145074048,
13.393081,-0.7544129431,
13.433558,-0.7252036829,
13.473872,-0.6325480786,
13.514276,-0.6078878015,
13.554679,-0.5499481213,
13.595048,-0.5159504578,
13.635453,-0.5035006091,
13.676538,-0.4046200806,
13.716933,-0.4328716602,
13.75715,-0.3397372156,
13.797422,-0.3440467786,
13.838039,-0.2930502832,
13.878466,-0.2621650818,
13.918968,-0.2298433594,
13.959411,-0.2310404602,
13.999811,-0.2329558215,
14.039988,-0.2008735193,
14.080373,-0.2315193005,
14.12088,-0.1936909143,
14.161172,-0.1393425366,
14.202091,-0.198958158,
14.245179,-0.1041477722,
14.286159,-0.1151610999,
14.326631,-0.1307234106,
14.36718,-0.09504980591,
14.407581,-0.09409212524,
14.44836,-0.08044517578,
14.488791,-0.1098938562,
14.529202,-0.08810662109,
14.56985,-0.1175553015,
14.610327,-0.1165976208,
14.650969,-0.09193734375,
14.691623,-0.07972691528,
14.732307,-0.1374271753,
14.772833,-0.04261678955,
14.813331,-0.02968810059,
14.854014,0.03064578125,
14.894414,0.08643067993,
14.934814,0.1367089148,
14.975242,0.2193088721,
15.015656,0.2468421912,
15.056103,0.3531447449,
15.096573,0.4611232397,
15.137047,0.6607996582,
15.177593,0.4651933826,
15.218164,0.7702146741,
15.261142,0.72113354,
15.302277,0.7898471277,
15.342754,0.7213729602,
15.383271,0.6090849023,
15.423697,0.5202600208,
15.464103,0.4805162732,
15.504492,0.3957615344,
15.544775,0.3222595435,
15.585284,0.3466804004,
15.625987,0.2389413257,
15.666583,0.2820369556,
